Time (Kya),Time,d18O,Error
0,0,3.23,0.03
1,1000,3.23,0.04
2,2000,3.18,0.03
3,3000,3.29,0.03
4,4000,3.3,0.03
5,5000,3.26,0.03
6,6000,3.33,0.04
7,7000,3.37,0.04
8,8000,3.42,0.03
9,9000,3.38,0.04
10,10000,3.52,0.04
11,11000,3.6,0.04
12,12000,3.92,0.05
13,13000,4.06,0.04
14,14000,4.28,0.03
15,15000,4.49,0.04
16,16000,4.75,0.03
17,17000,4.88,0.04
18,18000,5.02,0.03
19,19000,4.96,0.03
20,20000,4.99,0.04
21,21000,4.91,0.03
22,22000,4.88,0.03
23,23000,4.86,0.03
24,24000,4.81,0.04
25,25000,4.82,0.02
26,26000,4.67,0.04
27,27000,4.75,0.04
28,28000,4.75,0.03
29,29000,4.73,0.03
30,30000,4.62,0.04
31,31000,4.62,0.03
32,32000,4.6,0.03
33,33000,4.58,0.03
34,34000,4.59,0.03
35,35000,4.54,0.02
36,36000,4.45,0.03
37,37000,4.46,0.03
38,38000,4.41,0.03
39,39000,4.55,0.03
40,40000,4.55,0.03
41,41000,4.51,0.05
42,42000,4.5,0.03
43,43000,4.46,0.04
44,44000,4.48,0.03
45,45000,4.33,0.04
46,46000,4.36,0.05
47,47000,4.38,0.04
48,48000,4.45,0.04
49,49000,4.46,0.03
50,50000,4.34,0.04
51,51000,4.33,0.05
52,52000,4.31,0.04
53,53000,4.44,0.03
54,54000,4.38,0.04
55,55000,4.31,0.03
56,56000,4.35,0.04
57,57000,4.43,0.04
58,58000,4.49,0.06
59,59000,4.43,0.04
60,60000,4.6,0.04
61,61000,4.51,0.05
62,62000,4.6,0.04
63,63000,4.53,0.04
64,64000,4.36,0.06
65,65000,4.48,0.05
66,66000,4.57,0.04
67,67000,4.44,0.05
68,68000,4.42,0.06
69,69000,4.47,0.05
70,70000,4.32,0.04
71,71000,4.22,0.05
72,72000,4.21,0.04
73,73000,4.23,0.04
74,74000,4.03,0.04
75,75000,3.95,0.04
76,76000,4.06,0.04
77,77000,4.08,0.05
78,78000,4.05,0.03
79,79000,4.05,0.05
80,80000,3.9,0.04
81,81000,3.82,0.04
82,82000,3.8,0.04
83,83000,3.83,0.04
84,84000,3.82,0.04
85,85000,3.95,0.06
86,86000,4.06,0.05
87,87000,4.18,0.05
88,88000,4.11,0.05
89,89000,4.08,0.04
90,90000,4.06,0.05
91,91000,4.03,0.04
92,92000,3.98,0.04
93,93000,3.9,0.03
94,94000,3.84,0.04
95,95000,3.77,0.05
96,96000,3.75,0.03
97,97000,3.83,0.04
98,98000,3.9,0.04
99,99000,3.78,0.06
100,100000,3.81,0.06
101,101000,3.92,0.05
102,102000,3.86,0.05
103,103000,3.88,0.04
104,104000,3.92,0.05
105,105000,3.85,0.06
106,106000,4,0.04
107,107000,4.04,0.05
108,108000,4.11,0.04
