Age        Renland    Renland
(yrs         depth       d18O
b2k)           (m)        (‰)
40          23.100     -27.14
60          36.100     -26.76
80          47.050     -26.94
100         56.050     -27.86
120         64.700     -27.63
140         72.550     -27.23
160         79.850     -27.74
180         86.600     -27.77
200         92.850     -27.49
220         98.650     -27.38
240        104.500     -27.47
260        111.250     -27.74
280        117.150     -27.65
300        122.250     -27.97
320        127.200     -27.07
340        131.350     -27.26
360        136.350     -27.35
380        140.200     -27.63
400        144.250     -27.56
420        148.400     -27.34
440        151.900     -27.61
460        155.525     -27.13
480        159.075     -27.01
500        162.525     -27.50
520        166.075     -27.32
540        169.075     -27.48
560        172.150     -26.73
580        174.575     -27.58
600        177.150     -26.71
620        179.350     -26.72
640        181.925     -27.60
660        184.475     -27.63
680        186.800     -27.00
700        188.975     -27.17
720        191.375     -27.71
740        193.975     -27.46
760        195.775     -27.78
780        197.475     -27.32
800        199.125     -27.00
820        201.150     -27.50
840        202.726     -26.55
860        204.300     -27.21
880        205.842     -27.46
900        207.352     -27.11
920        208.832     -27.41
940        210.282     -27.76
960        211.703     -27.35
980        213.096     -27.42
1000       214.462     -27.15
1020       215.802     -27.16
1040       217.115     -26.81
1060       218.405     -27.29
1080       219.667     -27.16
1100       220.882     -27.39
1120       222.020     -26.92
1140       223.070     -27.07
1160       224.093     -27.03
1180       225.099     -26.90
1200       226.089     -27.52
1220       227.060     -27.88
1240       228.013     -26.51
1260       228.947     -26.96
1280       229.862     -27.20
1300       230.756     -27.42
1320       231.629     -27.67
1340       232.480     -27.28
1360       233.310     -27.52
1380       234.116     -27.07
1400       234.899     -27.29
1420       235.658     -27.46
1440       236.392     -27.02
1460       237.101     -26.89
1480       237.785     -27.27
1500       238.451     -26.97
1520       239.101     -27.20
1540       239.736     -27.86
1560       240.355     -26.97
1580       240.960     -26.71
1600       241.550     -26.45
1620       242.127     -27.11
1640       242.690     -27.26
1660       243.239     -27.26
1680       243.776     -26.86
1700       244.301     -27.73
1720       244.814     -26.79
1740       245.315     -27.59
1760       245.805     -27.33
1780       246.284     -27.62
1800       246.753     -27.50
1820       247.212     -27.43
1840       247.659     -26.89
1860       248.093     -27.25
1880       248.513     -26.53
1900       248.921     -27.33
1920       249.319     -27.73
1940       249.706     -26.81
1960       250.084     -27.08
1980       250.455     -27.21
2000       250.818     -26.96
2020       251.176     -27.16
2040       251.530     -26.10
2060       251.879     -26.98
2080       252.222     -27.70
2100       252.558     -26.96
2120       252.887     -27.09
2140       253.210     -27.37
2160       253.527     -26.73
2180       253.839     -27.14
2200       254.145     -27.45
2220       254.447     -27.59
2240       254.744     -27.45
2260       255.037     -26.85
2280       255.330     -27.27
2300       255.624     -26.97
2320       255.918     -26.95
2340       256.211     -27.89
2360       256.503     -27.56
2380       256.794     -27.34
2400       257.083     -27.40
2420       257.371     -26.85
2440       257.655     -27.32
2460       257.937     -27.16
2480       258.216     -27.77
2500       258.491     -27.62
2520       258.762     -26.65
2540       259.028     -26.79
2560       259.290     -26.74
2580       259.546     -26.92
2600       259.797     -27.09
2620       260.041     -27.49
2640       260.280     -26.83
2660       260.511     -26.96
2680       260.735     -26.76
2700       260.951     -26.75
2720       261.159     -27.60
2740       261.359     -27.34
2760       261.550     -27.25
2780       261.734     -26.84
2800       261.911     -27.03
2820       262.083     -27.13
2840       262.248     -26.70
2860       262.410     -27.33
2880       262.567     -27.02
2900       262.722     -26.88
2920       262.874     -27.18
2940       263.025     -27.24
2960       263.175     -26.77
2980       263.325     -26.36
3000       263.476     -27.04
3020       263.628     -26.91
3040       263.783     -26.70
3060       263.941     -27.15
3080       264.103     -26.95
3100       264.267     -27.12
3120       264.433     -26.97
3140       264.601     -26.86
3160       264.771     -27.36
3180       264.943     -26.37
3200       265.116     -26.82
3220       265.290     -27.17
3240       265.465     -27.14
3260       265.642     -27.02
3280       265.819     -26.59
3300       265.998     -27.13
3320       266.177     -26.74
3340       266.356     -26.81
3360       266.536     -26.93
3380       266.716     -27.28
3400       266.897     -26.63
3420       267.077     -26.91
3440       267.258     -26.95
3460       267.438     -26.87
3480       267.618     -26.60
3500       267.797     -26.89
3520       267.976     -27.17
3540       268.154     -26.61
3560       268.331     -26.79
3580       268.508     -27.22
3600       268.683     -26.44
3620       268.857     -26.18
3640       269.029     -26.39
3660       269.200     -26.42
3680       269.370     -26.62
3700       269.538     -26.56
3720       269.703     -26.61
3740       269.867     -26.94
3760       270.029     -26.78
3780       270.188     -26.47
3800       270.346     -27.20
3820       270.500     -27.09
3840       270.652     -26.82
3860       270.801     -26.69
3880       270.947     -26.50
3900       271.091     -26.21
3920       271.231     -26.69
3940       271.368     -26.24
3960       271.501     -26.76
3980       271.631     -26.44
4000       271.757     -26.44
4020       271.880     -26.96
4040       271.998     -27.02
4060       272.113     -26.66
4080       272.225     -26.66
4100       272.336     -26.51
4120       272.445     -27.07
4140       272.552     -26.69
4160       272.658     -26.42
4180       272.761     -26.40
4200       272.863     -26.67
4220       272.964     -26.68
4240       273.062     -26.69
4260       273.160     -27.01
4280       273.255     -26.56
4300       273.350     -26.84
4320       273.443     -26.95
4340       273.534     -26.98
4360       273.625     -26.51
4380       273.714     -26.51
4400       273.802     -26.04
4420       273.888     -26.40
4440       273.974     -26.71
4460       274.059     -26.53
4480       274.142     -26.02
4500       274.224     -26.84
4520       274.306     -26.56
4540       274.387     -27.01
4560       274.466     -26.93
4580       274.545     -26.52
4600       274.624     -26.15
4620       274.701     -26.46
4640       274.778     -26.70
4660       274.854     -26.93
4680       274.930     -27.15
4700       275.005     -26.67
4720       275.080     -26.92
4740       275.154     -26.52
4760       275.228     -26.79
4780       275.301     -27.09
4800       275.373     -26.94
4820       275.445     -26.16
4840       275.517     -26.55
4860       275.587     -26.73
4880       275.657     -26.33
4900       275.726     -26.47
4920       275.794     -26.33
4940       275.861     -26.45
4960       275.927     -27.00
4980       275.992     -26.36
5000       276.056     -26.77
5020       276.119     -26.72
5040       276.181     -26.33
5060       276.242     -26.53
5080       276.301     -25.68
5100       276.359     -26.95
5120       276.416     -26.86
5140       276.471     -26.45
5160       276.525     -26.41
5180       276.577     -26.26
5200       276.628     -26.37
5220       276.677     -26.49
5240       276.724     -26.62
5260       276.768     -26.63
5280       276.810     -26.48
5300       276.851     -26.41
5320       276.890     -25.83
5340       276.928     -25.85
5360       276.966     -26.34
5380       277.003     -26.64
5400       277.041     -26.90
5420       277.080     -26.75
5440       277.120     -27.00
5460       277.161     -26.76
5480       277.204     -26.93
5500       277.250     -26.72
5520       277.297     -26.59
5540       277.346     -26.88
5560       277.395     -26.27
5580       277.446     -26.56
5600       277.497     -26.91
5620       277.547     -27.13
5640       277.598     -26.66
5660       277.648     -26.51
5680       277.697     -26.47
5700       277.745     -26.33
5720       277.792     -26.61
5740       277.837     -26.48
5760       277.880     -26.65
5780       277.924     -26.32
5800       277.967     -26.61
5820       278.010     -26.28
5840       278.052     -26.73
5860       278.093     -26.50
5880       278.133     -26.41
5900       278.173     -26.13
5920       278.212     -26.91
5940       278.249     -26.83
5960       278.285     -26.72
5980       278.320     -26.59
6000       278.353     -26.42
6020       278.386     -26.47
6040       278.417     -26.33
6060       278.448     -25.95
6080       278.478     -26.18
6100       278.507     -25.99
6120       278.535     -26.60
6140       278.563     -26.89
6160       278.590     -26.74
6180       278.617     -26.50
6200       278.643     -26.74
6220       278.668     -27.01
6240       278.693     -26.53
6260       278.717     -26.44
6280       278.741     -25.98
6300       278.765     -26.23
6320       278.788     -26.48
6340       278.810     -26.43
6360       278.833     -26.19
6380       278.855     -25.81
6400       278.877     -26.10
6420       278.898     -26.17
6440       278.919     -26.16
6460       278.941     -26.34
6480       278.962     -26.56
6500       278.982     -26.51
6520       279.003     -26.10
6540       279.024     -25.62
6560       279.045     -25.86
6580       279.065     -26.01
6600       279.086     -26.09
6620       279.107     -26.34
6640       279.128     -26.76
6660       279.149     -26.62
6680       279.171     -26.54
6700       279.192     -26.58
6720       279.214     -26.58
6740       279.236     -26.37
6760       279.258     -26.20
6780       279.281     -26.29
6800       279.304     -26.50
6820       279.327     -27.03
6840       279.351     -26.20
6860       279.376     -26.03
6880       279.401     -26.31
6900       279.426     -26.49
6920       279.452     -26.16
6940       279.478     -26.48
6960       279.505     -26.34
6980       279.533     -26.12
7000       279.562     -26.15
7020       279.591     -26.21
7040       279.621     -26.23
7060       279.651     -26.43
7080       279.683     -26.46
7100       279.715     -26.23
7120       279.748     -25.95
7140       279.783     -26.78
7160       279.818     -26.46
7180       279.854     -26.23
7200       279.891     -26.02
7220       279.929     -26.57
7240       279.968     -25.85
7260       280.009     -26.05
7280       280.055     -26.20
7300       280.105     -26.48
7320       280.159     -26.46
7340       280.217     -26.03
7360       280.277     -26.23
7380       280.341     -26.07
7400       280.407     -26.42
7420       280.474     -26.16
7440       280.544     -25.82
7460       280.614     -26.13
7480       280.685     -26.19
7500       280.757     -26.16
7520       280.829     -26.14
7540       280.900     -25.92
7560       280.970     -26.33
7580       281.039     -26.13
7600       281.107     -26.03
7620       281.172     -26.36
7640       281.236     -26.44
7660       281.297     -25.56
7680       281.358     -26.01
7700       281.418     -25.88
7720       281.478     -25.84
7740       281.538     -25.75
7760       281.598     -25.91
7780       281.658     -25.70
7800       281.719     -25.82
7820       281.781     -25.94
7840       281.843     -26.00
7860       281.908     -25.89
7880       281.973     -25.64
7900       282.039     -25.68
7920       282.105     -25.48
7940       282.170     -25.81
7960       282.235     -25.87
7980       282.300     -25.95
8000       282.366     -25.30
8020       282.433     -25.74
8040       282.501     -25.45
8060       282.570     -25.61
8080       282.640     -25.75
8100       282.713     -25.55
8120       282.788     -26.27
8140       282.865     -26.08
8160       282.945     -26.27
8180       283.028     -26.67
8200       283.115     -26.95
8220       283.205     -27.31
8240       283.299     -27.68
8260       283.402     -26.44
8280       283.514     -26.29
8300       283.634     -26.17
8320       283.760     -26.06
8340       283.892     -26.00
8360       284.027     -25.71
8380       284.164     -25.94
8400       284.302     -25.65
8420       284.439     -25.81
8440       284.573     -25.86
8460       284.706     -26.14
8480       284.838     -26.31
8500       284.972     -25.86
8520       285.108     -26.33
8540       285.248     -26.05
8560       285.393     -26.43
8580       285.544     -26.30
8600       285.705     -26.25
8620       285.876     -26.10
8640       286.053     -26.04
8660       286.235     -25.70
8680       286.417     -26.11
8700       286.598     -26.06
8720       286.777     -25.90
8740       286.956     -25.89
8760       287.135     -26.21
8780       287.314     -25.86
8800       287.493     -25.71
8820       287.673     -25.00
8840       287.854     -25.80
8860       288.035     -25.70
8880       288.217     -25.42
8900       288.399     -25.89
8920       288.583     -25.34
8940       288.768     -25.75
8960       288.954     -26.05
8980       289.142     -25.98
9000       289.331     -25.93
9020       289.522     -25.54
9040       289.714     -25.96
9060       289.909     -25.65
9080       290.115     -26.14
9100       290.330     -25.48
9120       290.544     -25.79
9140       290.750     -25.41
9160       290.939     -25.34
9180       291.103     -25.86
9200       291.244     -25.87
9220       291.383     -25.07
9240       291.539     -25.46
9260       291.716     -25.25
9280       291.906     -26.18
9300       292.107     -26.62
9320       292.317     -25.90
9340       292.536     -25.82
9360       292.762     -25.70
9380       292.993     -25.65
9400       293.228     -25.50
9420       293.465     -25.78
9440       293.702     -25.50
9460       293.939     -25.18
9480       294.174     -25.72
9500       294.405     -25.77
9520       294.631     -25.68
9540       294.851     -25.96
9560       295.067     -25.67
9580       295.284     -25.44
9600       295.500     -26.15
9620       295.717     -25.39
9640       295.934     -25.95
9660       296.151     -26.25
9680       296.368     -25.65
9700       296.584     -25.72
9720       296.800     -25.13
9740       297.016     -25.30
9760       297.231     -25.72
9780       297.446     -25.96
9800       297.659     -25.33
9820       297.872     -25.78
9840       298.084     -26.26
9860       298.296     -25.49
9880       298.506     -25.90
9900       298.714     -25.93
9920       298.922     -26.05
9940       299.128     -25.68
9960       299.333     -26.26
9980       299.536     -25.45
10000      299.737     -26.41
10020      299.937     -25.88
10040      300.135     -25.77
10060      300.331     -25.93
10080      300.528     -26.29
10100      300.731     -26.12
10120      300.938     -25.92
10140      301.146     -26.39
10160      301.355     -26.33
10180      301.563     -26.54
10200      301.767     -26.62
10220      301.967     -26.37
10240      302.159     -26.15
10260      302.343     -26.20
10280      302.516     -26.52
10300      302.677     -26.24
10320      302.825     -26.51
10340      302.956     -26.82
10360      303.071     -26.66
10380      303.169     -26.78
10400      303.257     -26.75
10420      303.337     -27.15
10440      303.411     -26.27
10460      303.483     -26.79
10480      303.555     -26.54
10500      303.629     -26.04
10520      303.704     -26.20
10540      303.777     -26.59
10560      303.851     -27.18
10580      303.924     -26.69
10600      303.997     -26.44
10620      304.069     -26.47
10640      304.141     -26.64
10660      304.213     -26.32
10680      304.284     -26.50
10700      304.354     -26.62
10720      304.424     -26.77
10740      304.493     -27.02
10760      304.562     -26.80
10780      304.630     -26.64
10800      304.697     -27.14
10820      304.763     -26.90
10840      304.829     -26.76
10860      304.894     -27.26
10880      304.958     -27.30
10900      305.021     -27.10
10920      305.084     -27.07
10940      305.145     -27.38
10960      305.206     -27.06
10980      305.265     -27.43
11000      305.323     -27.35
11020      305.381     -27.66
11040      305.437     -27.72
11060      305.492     -27.47
11080      305.546     -27.28
11100      305.599     -27.21
11120      305.652     -27.20
11140      305.705     -27.36
11160      305.756     -27.77
11180      305.807     -27.42
11200      305.856     -27.64
11220      305.903     -27.52
11240      305.947     -27.33
11260      305.988     -27.42
11280      306.026     -27.53
11300      306.061     -27.72
11320      306.091     -27.57
11340      306.119     -27.32
11360      306.144     -27.85
11380      306.168     -28.70
11400      306.190     -29.13
11420      306.211     -29.18
11440      306.232     -29.04
11460      306.252     -28.85
11480      306.272     -28.76
11500      306.292     -28.49
11520      306.313     -28.38
11540      306.335     -28.11
11560      306.358     -27.88
11580      306.383     -27.96
11600      306.408     -27.76
11620      306.435     -27.56
11640      306.462     -27.48
11660      306.489     -27.61
11680      306.517     -28.35
11700      306.546     -29.28
11740      306.575     -30.12
11778      306.600     -30.70
11815      306.625     -30.57
11852      306.650     -30.43
11889      306.675     -30.38
11927      306.700     -30.40
11964      306.725     -29.98
12001      306.750     -30.45
12039      306.775     -30.62
12076      306.800     -30.12
12113      306.825     -30.13
12150      306.850     -30.47
12188      306.875     -30.36
12225      306.900     -30.27
12262      306.925     -30.53
12299      306.950     -30.69
12337      306.975     -30.48
12374      307.000     -30.66
12411      307.025     -30.79
12449      307.050     -30.58
12486      307.075     -30.65
12523      307.100     -30.58
12560      307.125     -30.57
12598      307.150     -31.00
12635      307.175     -30.94
12672      307.200     -31.08
12710      307.225     -31.09
12747      307.250     -30.94
12784      307.275     -30.85
12821      307.300     -30.56
12859      307.325     -29.95
12896      307.350     -29.40
12942      307.375     -28.92
