Age,d18O Summer,d18O winter,d18O annual,,,,,,,
2014,-25.08,-25.98,-25.51,,,,,,,
2013,-26.16,-28.34,-26.97,,,,,,,
2012,-25.64,-26.90,-26.56,,,,,,,
2011,-25.62,-26.05,-25.98,,,,,,,
2010,-24.42,-27.04,-25.44,,,,,,,
2009,-23.68,-27.17,-25.33,,,,,,,
2008,-28.49,-29.38,-29.32,,,,,,,
2007,-27.78,-28.33,-28.36,,,,,,,
2006,-26.46,-28.10,-27.29,,,,,,,
2005,-26.29,-27.32,-27.08,,,,,,,
2004,-23.72,-26.77,-25.22,,,,,,,
2003,-25.06,-26.38,-25.83,,,,,,,
2002,-24.06,-28.55,-25.66,,,,,,,
2001,-27.69,-28.20,-28.18,,,,,,,
2000,-27.01,-28.93,-27.78,,,,,,,
1999,-25.87,-27.82,-27.16,,,,,,,
1998,-25.52,-26.69,-26.34,,,,,,,
1997,-25.10,-28.74,-26.48,,,,,,,
1996,-26.32,-26.79,-27.06,,,,,,,
1995,-26.72,-30.18,-27.75,,,,,,,
1994,-27.13,-28.01,-28.06,,,,,,,
1993,-25.72,-28.67,-27.05,,,,,,,
1992,-24.65,-28.88,-26.62,,,,,,,
1991,-26.78,-28.38,-27.74,,,,,,,
1990,-26.15,-27.72,-27.06,,,,,,,
1989,-26.96,-28.92,-27.72,,,,,,,
1988,-25.76,-27.60,-27.07,,,,,,,
1987,-26.15,-29.91,-29.24,,,,,,,
1986,-25.72,-27.46,-27.80,,,,,,,
1985,-24.97,-25.96,-25.58,,,,,,,
1984,-26.09,-28.77,-26.22,,,,,,,
1983,-28.08,-31.28,-29.08,,,,,,,
1982,-27.76,-28.37,-28.90,,,,,,,
1981,-27.14,-28.59,-28.11,,,,,,,
1980,-26.59,-26.66,-26.85,,,,,,,
1979,-27.51,-29.79,-28.30,,,,,,,
1978,-26.37,-28.04,-27.94,,,,,,,
1977,-25.51,-27.04,-26.60,,,,,,,
1976,-25.58,-27.87,-26.38,,,,,,,
1975,-26.62,-28.81,-27.30,,,,,,,
1974,-26.62,-27.68,-27.59,,,,,,,
1973,-25.68,-27.64,-27.12,,,,,,,
1972,-24.55,-26.83,-25.59,,,,,,,
1971,-25.84,-28.44,-26.85,,,,,,,
1970,-26.29,-28.89,-27.62,,,,,,,
1969,-25.39,-27.35,-26.13,,,,,,,
1968,-26.86,-28.66,-27.63,,,,,,,
1967,-27.44,-28.93,-27.96,,,,,,,
1966,-27.95,-28.77,-28.56,,,,,,,
1965,-25.64,-28.13,-27.41,,,,,,,
1964,-26.10,-28.38,-26.85,,,,,,,
1963,-27.25,-27.95,-27.65,,,,,,,
1962,-27.18,-29.25,-28.18,,,,,,,
1961,-25.50,-26.84,-26.76,,,,,,,
1960,-24.98,-26.20,-26.08,,,,,,,
1959,-25.68,-26.81,-25.77,,,,,,,
1958,-26.49,-28.75,-27.69,,,,,,,
1957,-26.92,-28.62,-27.11,,,,,,,
1956,-26.25,-27.70,-27.82,,,,,,,
1955,-25.93,-26.75,-26.66,,,,,,,
1954,-25.16,-27.63,-26.28,,,,,,,
1953,-24.66,-26.86,-25.36,,,,,,,
1952,-27.29,-29.52,-27.64,,,,,,,
1951,-26.39,-27.17,-27.89,,,,,,,
1950,-26.21,-26.55,-25.79,,,,,,,
1949,-26.85,-30.73,-28.66,,,,,,,
1948,-25.37,-25.73,-27.01,,,,,,,
1947,-24.22,-26.31,-24.92,,,,,,,
1946,-25.27,-26.56,-25.87,,,,,,,
1945,-25.10,-27.88,-25.94,,,,,,,
1944,-27.31,-29.03,-27.43,,,,,,,
1943,-27.76,-28.84,-28.71,,,,,,,
1942,-26.19,-26.67,-27.40,,,,,,,
1941,-24.53,-26.72,-25.34,,,,,,,
1940,-25.43,-26.33,-26.01,,,,,,,
1939,-25.71,-26.76,-26.08,,,,,,,
1938,-26.73,-29.00,-27.04,,,,,,,
1937,-25.90,-25.74,-26.79,,,,,,,
1936,-26.36,-28.02,-27.42,,,,,,,
1935,-25.53,-27.39,-26.33,,,,,,,
1934,-25.48,-27.18,-26.93,,,,,,,
1933,-24.44,-25.18,-25.34,,,,,,,
1932,-24.06,-28.99,-25.00,,,,,,,
1931,-26.66,-27.88,-27.40,,,,,,,
1930,-26.22,-26.84,-27.46,,,,,,,
1929,-26.13,-28.63,-26.25,,,,,,,
1928,-27.39,-27.66,-28.20,,,,,,,
1927,-26.06,-27.54,-26.88,,,,,,,
1926,-26.02,-28.54,-27.60,,,,,,,
1925,-26.30,-27.23,-26.88,,,,,,,
1924,-25.96,-28.22,-26.93,,,,,,,
1923,-26.34,-28.21,-27.39,,,,,,,
1922,-26.93,-28.44,-27.25,,,,,,,
1921,-26.03,-28.43,-27.94,,,,,,,
1920,-26.60,-27.76,-27.17,,,,,,,
1919,-26.16,-29.91,-27.58,,,,,,,
1918,-26.81,-28.31,-28.08,,,,,,,
1917,-25.20,-26.32,-26.32,,,,,,,
1916,-26.14,-26.61,-25.94,,,,,,,
1915,-27.11,-29.57,-27.93,,,,,,,
1914,-26.96,-28.89,-27.74,,,,,,,
1913,-27.28,-28.09,-27.96,,,,,,,
1912,-25.90,-27.56,-27.24,,,,,,,
1911,-26.33,-28.61,-26.81,,,,,,,
1910,-27.02,-28.42,-28.40,,,,,,,
